client-address,client-guid,request-time,service-guid,retries-request,packets-requested,packets-serviced,max-hole-size
75.175.93.93,074d853b-eba6-472b-b588-adcc0ad69402,2016-06-28 12:54:33 UTC,98279a79-c822-45b4-8429-45ce97a336e5,7,11,6,7
184.20.205.139,c2fb747e-7020-49fd-b12e-96bd0842384e,2016-06-28 12:55:04 UTC,92aa1c5c-98ab-49f8-a427-4c0bc49d6872,7,11,18,13
176.219.10.154,23e89ddc-c8ee-475d-b80f-3c4e1c0f0fbc,2016-06-28 12:55:52 UTC,92aa1c5c-98ab-49f8-a427-4c0bc49d6872,8,11,10,10
138.72.13.187,089f4e70-10c5-4de2-9d2b-1c66246e8820,2016-06-28 12:56:07 UTC,bed314cb-4c59-41ee-9c23-3155a80e2bc3,2,8,15,12
91.254.170.48,70e496c2-e9a0-45b5-8ee7-f34849b9026a,2016-06-28 12:56:42 UTC,60b84364-645b-444c-90ed-879d893f7920,8,5,16,8
253.14.16.17,ad4139d3-41b5-4569-8cde-3d54f96a38a3,2016-06-28 13:03:31 UTC,e49b6654-fca2-47b2-b816-4bb7e09c6fa3,7,10,15,9
122.229.58.131,088f93cb-f0a8-41ea-acf8-7a29f029ed78,2016-06-28 13:08:27 UTC,d70c87de-7837-450c-9965-17c9f366d183,8,10,2,14
38.29.201.73,99a4fea8-b7f4-4311-aabb-d75839ffeb9b,2016-06-28 13:10:21 UTC,0ee908d7-d767-4da5-9cbe-fc78e9c6a192,7,4,1,4
133.162.159.139,8796189b-bda4-4096-8ef6-0eb461443b40,2016-06-28 13:11:58 UTC,d15e4790-67f7-4488-a28d-32ced8673c58,6,11,13,3
94.92.22.194,f16afb1c-f977-44a4-bf92-9b4009ebab51,2016-06-28 13:12:48 UTC,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,4,9,6,13
83.152.115.149,f2842355-374f-43d0-b5ec-c55566bd3d23,2016-06-28 13:13:38 UTC,a944a262-6fdb-4f7f-a510-d123ed9618e6,5,10,6,18
158.72.216.85,c025f3b3-9d38-43cf-96b3-765c8d09376f,2016-06-28 13:14:47 UTC,601152f5-477a-4ff3-afdb-8bf315341254,6,14,8,15
214.186.31.66,eb759952-2413-486f-8c49-2de88b29578d,2016-06-28 13:16:21 UTC,a944a262-6fdb-4f7f-a510-d123ed9618e6,5,8,6,16
184.20.205.139,c2fb747e-7020-49fd-b12e-96bd0842384e,2016-06-28 13:16:47 UTC,92aa1c5c-98ab-49f8-a427-4c0bc49d6872,1,7,6,3
124.253.117.135,7b5b34c5-2d3a-46c8-b462-58ee432c8f0f,2016-06-28 13:17:03 UTC,a944a262-6fdb-4f7f-a510-d123ed9618e6,5,12,12,8
24.197.69.7,67d5e3dd-f39a-401b-957b-88acb474f65a,2016-06-28 13:24:50 UTC,db7b9cde-0a4b-459a-a301-88a447410499,4,8,7,7
154.145.218.119,6cb04894-fa35-41f1-ad53-84d74b549dd5,2016-06-28 13:25:59 UTC,d15e4790-67f7-4488-a28d-32ced8673c58,3,11,6,2
253.235.133.129,ab0020e1-ae71-4c1f-aa9c-777ab029f884,2016-06-28 13:26:08 UTC,a6c5d611-45be-43bf-a027-c1e98a89c8f6,5,7,5,12
63.153.117.246,b6dffb35-7467-40df-8212-61a36b4376ea,2016-06-28 13:26:30 UTC,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,6,13,2,16
39.49.44.234,f917c098-6c46-4d68-bcac-840009db8f9d,2016-06-28 13:26:59 UTC,7d619a45-2b4d-4a54-9e85-6913c9545e34,1,17,16,9
100.244.243.255,0ab47f58-2c17-4b8d-9bd1-20ca3b924877,2016-06-28 13:28:26 UTC,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,3,8,17,12
156.151.161.28,a82b1820-8498-41e9-88e6-9a03c37f7e57,2016-06-28 13:28:46 UTC,4a949998-0e79-4ec1-9894-11360712fc45,8,16,13,11
223.145.155.158,779846ad-de04-431b-8942-ae835fa1a215,2016-06-28 13:29:01 UTC,147fe620-dd62-4eb6-9a0d-8b8ca1e743b1,3,14,10,14
11.105.108.47,b9ed339c-b853-4883-a8f7-423738219768,2016-06-28 13:30:45 UTC,ef48c441-4a26-4f90-97cf-cc3d0665b814,4,8,7,14
210.21.80.97,3214ae5c-d832-4661-a29e-37348183ad1b,2016-06-28 13:32:50 UTC,5d35c640-9cf3-43ec-ae1a-5feebed26a37,3,14,11,8
251.30.9.146,70c5473c-adcc-422d-8724-dc6b53c68c5a,2016-06-28 13:34:37 UTC,a5adb83b-0380-4618-aef6-7179e39eff26,6,13,9,12
75.175.93.93,074d853b-eba6-472b-b588-adcc0ad69402,2016-06-28 13:34:40 UTC,3cc76b74-7d16-4651-9699-34332a56f6e7,1,13,13,16
145.157.137.136,7acbeb5f-ce5f-4805-b24b-6ba979dbd383,2016-06-28 13:37:35 UTC,0342f6df-6e8c-48c3-8390-667eb678638b,5,9,14,1
236.178.72.78,61e9bb2c-b5dc-44f6-9f7f-2cc615af7796,2016-06-28 13:38:23 UTC,1d0a29e3-b3b0-4f0d-a684-a0f025955a4d,8,8,13,12
207.77.90.74,b84befd4-1024-4c4e-8fcd-55d29fc49373,2016-06-28 13:38:55 UTC,601152f5-477a-4ff3-afdb-8bf315341254,4,8,18,7
63.238.70.233,548fdcfe-1f63-49c8-b764-e5fd4010d4f6,2016-06-28 13:39:11 UTC,90e5b65b-4f12-4bb2-9554-3f5969f4d78b,6,12,14,16
44.122.139.20,279e0c25-3f89-4c74-8d36-dfcb99c64a0f,2016-06-28 13:40:10 UTC,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,8,7,12,16
244.225.8.162,ca7050d8-e536-4d72-84fc-b1d6d7ac72d9,2016-06-28 13:41:14 UTC,caaca31e-bee2-4ed3-8e72-5dab24079744,6,13,15,15
106.122.7.55,8f2a0995-20d7-42ee-96ca-174140b63b27,2016-06-28 13:42:22 UTC,4a949998-0e79-4ec1-9894-11360712fc45,7,11,16,6
53.192.52.176,f4394d85-6c7d-4294-aa7e-30ae656cc901,2016-06-28 13:44:23 UTC,586b3947-c63c-4054-a437-d3f8a6836bcf,6,8,17,11
231.102.234.148,1109e335-39d4-4497-8854-bf3937c5a547,2016-06-28 13:45:02 UTC,94f93cba-de8c-4fb6-a03c-d52c10f81247,3,13,16,13
201.21.67.201,e03d0286-3a91-41b6-82b7-16113d22aa2f,2016-06-28 13:49:10 UTC,26ea4cf2-ed09-43d4-a8e6-e3ff1f8e5893,5,13,17,8
136.86.149.164,5eed724f-e8fc-45e7-9fa0-3860d0b13943,2016-06-28 13:52:22 UTC,60b84364-645b-444c-90ed-879d893f7920,6,13,4,12
12.239.186.1,9147765a-9f0a-41c0-a18d-cb618e7ac936,2016-06-28 13:56:34 UTC,fa7b1137-1e85-4d26-aa9d-8da7a812cad6,7,6,16,8
182.96.68.127,603bcef9-6154-402b-ad10-39302b34bfe1,2016-06-28 14:05:49 UTC,d70c87de-7837-450c-9965-17c9f366d183,1,8,7,10
39.49.44.234,f917c098-6c46-4d68-bcac-840009db8f9d,2016-06-28 14:12:44 UTC,601152f5-477a-4ff3-afdb-8bf315341254,6,9,11,18
27.199.65.16,942008de-150c-4e22-93de-6186c8a02dd8,2016-06-28 14:14:36 UTC,586b3947-c63c-4054-a437-d3f8a6836bcf,6,11,1,14
159.29.57.124,3c73d3fa-88e0-4aa6-8615-f0695b106600,2016-06-28 14:15:37 UTC,bed314cb-4c59-41ee-9c23-3155a80e2bc3,1,1,8,8
12.74.212.73,2fbba381-9354-41ee-997f-b03aed004c27,2016-06-28 14:18:30 UTC,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,7,11,6,14
10.65.7.118,1d68b9c2-e8c5-4ed3-afae-50650bc4887e,2016-06-28 14:22:26 UTC,8232ac92-6020-4101-88c0-74d51ea1542b,5,15,12,10
91.254.170.48,70e496c2-e9a0-45b5-8ee7-f34849b9026a,2016-06-28 14:25:52 UTC,4a949998-0e79-4ec1-9894-11360712fc45,7,15,13,15
139.199.67.14,b4dce314-e569-4a2a-b5c3-b369b59c9ca3,2016-06-28 14:26:18 UTC,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,4,15,6,5
208.180.58.114,257a4a2c-5f15-4462-83dd-44cbedafae21,2016-06-28 14:27:42 UTC,5d35c640-9cf3-43ec-ae1a-5feebed26a37,1,10,11,14
231.102.234.148,1109e335-39d4-4497-8854-bf3937c5a547,2016-06-28 14:28:43 UTC,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,8,11,16,14
50.57.63.79,f1422974-aa83-4dc9-b3b4-75ce67bae8a0,2016-06-28 14:30:29 UTC,147fe620-dd62-4eb6-9a0d-8b8ca1e743b1,4,7,12,10
138.72.13.187,089f4e70-10c5-4de2-9d2b-1c66246e8820,2016-06-28 14:35:21 UTC,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,5,6,10,9
48.7.16.229,c86211fe-7464-4c12-bf1d-1b6ba809463a,2016-06-28 14:37:23 UTC,0a5f0733-d058-4738-8666-f0468c5ee9c3,5,5,17,10
63.112.127.116,1eafc017-80fb-4121-910b-de0f6df88819,2016-06-28 14:37:52 UTC,db7b9cde-0a4b-459a-a301-88a447410499,4,13,11,13
55.66.238.60,696cbfe6-effb-48c5-aa1a-6a1320174472,2016-06-28 14:38:30 UTC,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,5,13,14,11
126.27.127.213,dfcb52d6-b6c0-4e03-b821-aeacef035190,2016-06-28 14:38:58 UTC,edf32a15-bb1c-42f4-9fe6-afa9f9b21522,5,13,16,7
86.187.242.163,24ad91a9-a175-4e22-b39e-be06c7df094b,2016-06-28 14:39:25 UTC,7d619a45-2b4d-4a54-9e85-6913c9545e34,2,16,15,5
85.167.64.69,89bc418b-1250-465e-9243-e7a34dd8ee29,2016-06-28 14:39:26 UTC,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,5,15,13,9
80.139.243.28,f86716ba-936d-420b-8698-d87e17d5beb9,2016-06-28 14:40:27 UTC,d70c87de-7837-450c-9965-17c9f366d183,6,9,1,18
180.220.0.235,7ea02222-31bb-46f2-a27b-0270113c8352,2016-06-28 14:41:32 UTC,586b3947-c63c-4054-a437-d3f8a6836bcf,6,4,10,11
54.22.62.114,e3311e6a-462f-4d3f-a0d8-fc8600ce35fc,2016-06-28 14:42:46 UTC,0d5157f7-8012-4455-b66f-4f81d14092b3,9,6,8,4
194.153.116.244,c9f34d28-28ca-4959-9422-9d80d5a4814a,2016-06-28 14:44:12 UTC,586b3947-c63c-4054-a437-d3f8a6836bcf,9,4,9,11
69.51.77.90,3faf2136-0687-4827-a3b7-e0dc316572a8,2016-06-28 14:44:15 UTC,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,3,8,11,3
194.153.116.244,c9f34d28-28ca-4959-9422-9d80d5a4814a,2016-06-28 14:44:35 UTC,bed314cb-4c59-41ee-9c23-3155a80e2bc3,2,16,18,13
94.92.22.194,f16afb1c-f977-44a4-bf92-9b4009ebab51,2016-06-28 14:44:58 UTC,7f386bb2-4bbf-4f14-b56e-3dad78f28674,5,11,18,10
223.37.193.115,0cb4d1ba-eb44-4c10-8d6c-fd34f7e70694,2016-06-28 14:45:27 UTC,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,3,13,17,12
25.63.4.79,39d2597a-7dce-462e-a995-470974e48665,2016-06-28 14:48:18 UTC,bed314cb-4c59-41ee-9c23-3155a80e2bc3,5,15,14,16
107.225.10.253,9bc628b7-e57b-4624-bb76-73f796808ca2,2016-06-28 14:49:00 UTC,c5a5edbb-338d-449a-99cb-1baeba48abb2,6,11,11,8
145.18.221.103,b395e901-75a6-4005-9df4-edb8a343f87a,2016-06-28 14:49:57 UTC,8151ff61-4777-4187-b719-e750b91281c8,3,16,14,12
43.121.230.128,0abf10c0-7105-4401-b9ea-a6317561cbba,2016-06-28 14:53:20 UTC,1664d39d-45f1-4939-87e2-b7221e30d157,5,17,14,4
240.107.225.33,63652f6f-5441-4ad0-a5e7-9c0818e4696b,2016-06-28 14:56:14 UTC,d224de85-cd41-4f03-bff6-de9815877975,3,3,16,6
36.159.98.210,3a3db4ad-afed-435e-9ce1-c7561e5a9d1e,2016-06-28 14:56:40 UTC,a6c5d611-45be-43bf-a027-c1e98a89c8f6,9,3,13,16
140.214.11.29,4cb4360f-7947-4c97-a4cd-9544bbd17eb5,2016-06-28 14:57:58 UTC,fa005302-61ce-44ca-88a5-015fd4392f37,8,16,13,13
214.106.113.54,e211a6a1-f75c-401f-91c6-61f51f473d6e,2016-06-28 14:58:19 UTC,147fe620-dd62-4eb6-9a0d-8b8ca1e743b1,6,7,8,3
254.118.151.41,d3c0ca30-8a57-4535-9167-69e950df32ae,2016-06-28 14:59:59 UTC,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,4,16,9,5
136.98.140.70,3041de52-b442-40f0-8cf4-b01fdbc03ed9,2016-06-28 15:02:37 UTC,7d619a45-2b4d-4a54-9e85-6913c9545e34,5,18,15,11
11.168.249.153,a625f52a-7a79-4986-8741-d5866ffab46e,2016-06-28 15:06:30 UTC,4cb309f6-8c9a-4f61-8544-6b458e42f04c,5,7,9,16
126.27.127.213,dfcb52d6-b6c0-4e03-b821-aeacef035190,2016-06-28 15:18:47 UTC,dd7691ef-4b29-4992-b48d-cb449dfc65b6,3,13,10,8
197.67.162.91,e3b6e54c-5092-4a88-8400-02c2ce5af565,2016-06-28 15:23:23 UTC,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,0,19,13,6
23.93.24.205,52cd8288-bb32-4acf-9b22-f86b8c4a36c3,2016-06-28 15:23:24 UTC,dc81cacc-af4f-4b0a-8a10-34e106ffdf23,5,4,14,18
7.57.136.112,801d175e-02cf-406b-8981-073c298e59f2,2016-06-28 15:23:34 UTC,0d5157f7-8012-4455-b66f-4f81d14092b3,3,15,13,13
63.112.127.116,1eafc017-80fb-4121-910b-de0f6df88819,2016-06-28 15:23:57 UTC,8232ac92-6020-4101-88c0-74d51ea1542b,7,3,15,17
31.58.132.34,260c2121-098e-4371-b0bb-e8ca42bbc729,2016-06-28 15:26:01 UTC,90e5b65b-4f12-4bb2-9554-3f5969f4d78b,7,14,12,7
94.12.116.30,146ed54a-ba2e-4753-a806-0995827bb93b,2016-06-28 15:28:41 UTC,dd7691ef-4b29-4992-b48d-cb449dfc65b6,2,8,5,11
244.225.8.162,ca7050d8-e536-4d72-84fc-b1d6d7ac72d9,2016-06-28 15:34:54 UTC,586b3947-c63c-4054-a437-d3f8a6836bcf,8,12,11,10
43.121.230.128,0abf10c0-7105-4401-b9ea-a6317561cbba,2016-06-28 15:35:37 UTC,caaca31e-bee2-4ed3-8e72-5dab24079744,2,8,18,11
140.223.53.70,71058018-ea7d-4f5a-8b02-8c22b88a4427,2016-06-28 15:37:37 UTC,3cc76b74-7d16-4651-9699-34332a56f6e7,8,5,15,6
25.63.4.79,39d2597a-7dce-462e-a995-470974e48665,2016-06-28 15:39:09 UTC,601152f5-477a-4ff3-afdb-8bf315341254,1,10,6,9
185.116.188.255,9e73f5dd-1ecb-45d9-9bc7-374c2681515f,2016-06-28 15:46:28 UTC,1efced85-b0e3-464b-ac63-472d35909c05,3,15,8,15
63.166.194.231,75db17ab-aea0-4e56-a9b8-45d5ed29e8ef,2016-06-28 15:51:01 UTC,0d5157f7-8012-4455-b66f-4f81d14092b3,7,9,15,10
166.224.30.98,c6379614-8ad6-4318-b21f-8f977ce874ec,2016-06-28 15:53:45 UTC,52073b51-cd51-4438-bd54-3bce3a7c239f,2,11,19,17
152.187.124.84,96623c46-8c2d-4787-928f-10012ce4ef44,2016-06-28 15:54:39 UTC,1664d39d-45f1-4939-87e2-b7221e30d157,7,16,11,7
203.99.237.72,0b8eeb97-cc5c-4ae6-9b0a-f16efc3e3383,2016-06-28 15:55:34 UTC,52073b51-cd51-4438-bd54-3bce3a7c239f,5,9,15,4
139.208.124.41,2c83efdc-c899-4d4f-b715-da19ac180680,2016-06-28 15:58:54 UTC,a6c5d611-45be-43bf-a027-c1e98a89c8f6,1,11,10,11
240.239.146.238,542ad590-4084-4689-8124-503b9aa79f8e,2016-06-28 16:00:45 UTC,50b89ee3-f4cb-46d9-8d5c-319f6a032406,4,4,5,14
25.131.244.136,49efca01-479f-4511-b306-816b6dd04f4c,2016-06-28 16:01:25 UTC,586b3947-c63c-4054-a437-d3f8a6836bcf,9,11,16,7
189.123.107.8,8166905c-cfe9-4e43-8d83-94e8784b2108,2016-06-28 16:04:18 UTC,147fe620-dd62-4eb6-9a0d-8b8ca1e743b1,7,9,14,6
191.35.181.185,107866ff-4915-483f-84bc-da259966a282,2016-06-28 16:04:30 UTC,35501e3f-e06c-4cb5-9062-e8611a591cab,6,11,11,13
214.106.113.54,e211a6a1-f75c-401f-91c6-61f51f473d6e,2016-06-28 16:05:04 UTC,26ea4cf2-ed09-43d4-a8e6-e3ff1f8e5893,6,14,10,14
42.189.111.126,7fb79e2d-e87e-4848-bedf-226cc86d8929,2016-06-28 16:05:34 UTC,26ea4cf2-ed09-43d4-a8e6-e3ff1f8e5893,4,16,15,4
122.229.58.131,088f93cb-f0a8-41ea-acf8-7a29f029ed78,2016-06-28 16:08:59 UTC,d70c87de-7837-450c-9965-17c9f366d183,6,8,10,5
160.98.154.250,747ba432-9b7d-4a18-baa1-f0232736e6ee,2016-06-28 16:09:36 UTC,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,6,16,18,7
208.180.58.114,257a4a2c-5f15-4462-83dd-44cbedafae21,2016-06-28 16:11:36 UTC,1efced85-b0e3-464b-ac63-472d35909c05,5,17,9,12
168.150.100.132,3a33932e-9887-4b81-9490-aca35a8b58c2,2016-06-28 16:11:43 UTC,c5a5edbb-338d-449a-99cb-1baeba48abb2,7,12,13,17
30.73.3.42,0ffa65fe-5822-48eb-8d3f-08480489d2b6,2016-06-28 16:13:43 UTC,0d5157f7-8012-4455-b66f-4f81d14092b3,8,15,9,14
160.71.252.91,85c0881e-bbc5-4b8e-9f44-3811c5b5d925,2016-06-28 16:13:59 UTC,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,8,12,10,9
226.62.150.59,7a31a821-d6c7-42a5-a00f-34263f2cb438,2016-06-28 16:14:59 UTC,0342f6df-6e8c-48c3-8390-667eb678638b,7,6,14,16
30.23.170.207,b7b3cc60-eeb6-4020-9597-88cb9000391d,2016-06-28 16:15:58 UTC,601152f5-477a-4ff3-afdb-8bf315341254,1,10,16,19
86.101.113.23,1c4f25e0-9f6b-4b4e-baf5-1a8038022020,2016-06-28 16:16:19 UTC,b8cf6fd8-06e2-4e5b-8ed6-6efc8e0ecda3,8,14,10,13
95.125.180.55,c756d625-bdc7-40c0-869d-a97b45c4ebaa,2016-06-28 16:16:19 UTC,586b3947-c63c-4054-a437-d3f8a6836bcf,6,17,12,10
167.133.116.248,553f4b0e-eef6-41ac-ae2a-ddbff89e9105,2016-06-28 16:17:36 UTC,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,3,15,6,15
25.131.244.136,49efca01-479f-4511-b306-816b6dd04f4c,2016-06-28 16:18:38 UTC,4ab70dbe-f5e7-4688-aa5c-2ae75faf6c03,7,18,9,14
75.175.93.93,074d853b-eba6-472b-b588-adcc0ad69402,2016-06-28 16:22:05 UTC,2536e29e-3570-4d53-be7c-b9d059c632a7,7,13,16,13
231.102.234.148,1109e335-39d4-4497-8854-bf3937c5a547,2016-06-28 16:29:37 UTC,1664d39d-45f1-4939-87e2-b7221e30d157,6,14,8,11
77.10.9.39,463283d8-079b-45be-a7c7-ce0b7e3f5a4f,2016-06-28 16:31:56 UTC,a5adb83b-0380-4618-aef6-7179e39eff26,3,13,16,17
177.207.105.164,50a81755-dd6c-44b4-92f4-c4d0f76980cb,2016-06-28 16:34:45 UTC,601152f5-477a-4ff3-afdb-8bf315341254,5,4,13,18
125.165.252.24,bc56619f-cf00-48d2-a1c2-0af6d8a94fa5,2016-06-28 16:35:32 UTC,0a5f0733-d058-4738-8666-f0468c5ee9c3,8,9,15,3
228.252.85.118,d547834a-1811-48d1-ad82-95d2a048ac8e,2016-06-28 16:42:07 UTC,a6c5d611-45be-43bf-a027-c1e98a89c8f6,5,17,14,5
185.116.188.255,9e73f5dd-1ecb-45d9-9bc7-374c2681515f,2016-06-28 16:44:32 UTC,90e5b65b-4f12-4bb2-9554-3f5969f4d78b,7,15,6,11
11.3.172.88,95dd458f-dc5b-41d8-b2cb-f2b2c08e49e4,2016-06-28 16:45:31 UTC,d70c87de-7837-450c-9965-17c9f366d183,6,14,10,14
42.189.111.126,7fb79e2d-e87e-4848-bedf-226cc86d8929,2016-06-28 16:46:19 UTC,1d0a29e3-b3b0-4f0d-a684-a0f025955a4d,5,6,16,14
90.161.125.211,aff6ed59-3d7a-4c52-981b-086f2e19aba7,2016-06-28 16:49:05 UTC,1664d39d-45f1-4939-87e2-b7221e30d157,8,5,9,14
103.100.11.222,51643750-454e-4704-9ed8-5df37a7e9a03,2016-06-28 16:51:21 UTC,185ec7fa-2efc-424e-835f-de882857f55e,4,14,8,13
84.204.210.155,827b1228-fd25-48ca-80a2-886c9392bf45,2016-06-28 16:51:52 UTC,3cc76b74-7d16-4651-9699-34332a56f6e7,5,11,12,9
189.123.107.8,8166905c-cfe9-4e43-8d83-94e8784b2108,2016-06-28 16:51:53 UTC,d15e4790-67f7-4488-a28d-32ced8673c58,4,10,6,10
189.244.232.201,21d7ba77-d509-4bac-b943-b94319f79acc,2016-06-28 16:53:37 UTC,8151ff61-4777-4187-b719-e750b91281c8,6,12,11,11
184.20.205.139,c2fb747e-7020-49fd-b12e-96bd0842384e,2016-06-28 17:01:25 UTC,a6c5d611-45be-43bf-a027-c1e98a89c8f6,5,17,13,18
176.146.5.46,96cfcc3b-69a5-4bed-93ec-a0fb0ac9253d,2016-06-28 17:02:43 UTC,0d5157f7-8012-4455-b66f-4f81d14092b3,6,15,12,9
12.239.186.1,9147765a-9f0a-41c0-a18d-cb618e7ac936,2016-06-28 17:06:26 UTC,0d5157f7-8012-4455-b66f-4f81d14092b3,5,6,17,11
81.231.11.150,37b28482-db5f-4e2d-a35c-1aa650137d7c,2016-06-28 17:07:48 UTC,4cb309f6-8c9a-4f61-8544-6b458e42f04c,5,3,4,8
195.253.189.63,85abf514-5509-4a3c-a1ee-6b10b72f1b72,2016-06-28 17:09:09 UTC,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,8,16,11,4
94.92.22.194,f16afb1c-f977-44a4-bf92-9b4009ebab51,2016-06-28 17:12:18 UTC,8232ac92-6020-4101-88c0-74d51ea1542b,8,14,17,6
42.231.39.19,13c04d34-1386-4b4b-bf2b-dd224fe7c263,2016-06-28 17:14:33 UTC,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,6,10,3,16
156.80.210.99,9dc02e96-af25-4344-ac83-58a048464b6c,2016-06-28 17:15:22 UTC,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,7,10,7,5
152.196.5.179,9247096f-9cea-4ec4-a9ec-fb87a7eca907,2016-06-28 17:15:31 UTC,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,7,13,13,18
168.150.100.132,3a33932e-9887-4b81-9490-aca35a8b58c2,2016-06-28 17:16:55 UTC,7f386bb2-4bbf-4f14-b56e-3dad78f28674,9,15,11,14
63.238.70.233,548fdcfe-1f63-49c8-b764-e5fd4010d4f6,2016-06-28 17:18:01 UTC,5d35c640-9cf3-43ec-ae1a-5feebed26a37,6,13,15,14
112.220.217.210,85235af4-c6fa-4b96-8bef-92ebe219fa52,2016-06-28 17:18:11 UTC,dd7691ef-4b29-4992-b48d-cb449dfc65b6,5,3,8,9
